ID,Experiment,Feature,Target Confidence Interval (95%),Actual CPU Results,CPU Classification,CPU Complete?,CPU Completion Timestamp,Actual GPU Results,GPU Classification,GPU Complete?,GPU Completion Timestamp
EXP-07,P1 Energetic Contribution,F-07,"[8.0, 10.0] kcal/mol",N/A — depends on EXP-04,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-08,Interfacial H-Bond Energy,F-08,"[1.0, 3.0] kcal/mol per H-bond",N/A — depends on EXP-04,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-09,BPTI-Trypsin kon,F-09,"kon ~ 10^6 M-1s-1",N/A — depends on EXP-04,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-10,BPTI-Trypsin ΔG‡,F-10,"[20.0, 25.0] kcal/mol",N/A — depends on EXP-04,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-24,BPTI HD Exchange,F-24,"Core log(Pf) > 5",N/A — compute-limited (CPU only),INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-25,BPTI Conformational,F-25,"Core RMSF < 0.5 Å",N/A — compute-limited (CPU only),INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-26,BSA-ΔG Correlation,F-26,"R² > 0.7",N/A — depends on EXP-04/05/13/29,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-28,Scaffold Energy,F-28,"[-14.5, -10.5] kcal/mol",N/A — FEP compute-limited,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-30,Alanine Scanning,F-30,"15 mutations — ΔΔG values",N/A — FEP compute-limited,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-31,Disulfide Ablation,F-31,"ΔΔG = [3.0, 5.0] kcal/mol",N/A — FEP compute-limited,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-32,SPINK1 N34S,F-32,"ΔΔG = [0.5, 2.0] kcal/mol",N/A — FEP compute-limited,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-33,Barnase-Barstar DMC,F-33,"~45 ΔΔG_int values",N/A — FEP compute-limited,INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
